KEY   NAME                           RED   GREEN    BLUE   ALPHA
  0   ???                          0.000   0.000   0.000   0.000
  1   L_bankssts                   0.098   0.392   0.157   1.000
  2   L_caudalanteriorcingulate    0.490   0.392   0.627   1.000
  3   L_caudalmiddlefrontal        0.392   0.098   0.000   1.000
  4   L_corpuscallosum             0.471   0.275   0.196   1.000
  5   L_cuneus                     0.863   0.078   0.392   1.000
  6   L_entorhinal                 0.863   0.078   0.039   1.000
  7   L_fusiform                   0.706   0.863   0.549   1.000
  8   L_inferiorparietal           0.863   0.235   0.863   1.000
  9   L_inferiortemporal           0.706   0.157   0.471   1.000
 10   L_isthmuscingulate           0.549   0.078   0.549   1.000
 11   L_lateraloccipital           0.078   0.118   0.549   1.000
 12   L_lateralorbitofrontal       0.137   0.294   0.196   1.000
 13   L_lingual                    0.882   0.549   0.549   1.000
 14   L_medialorbitofrontal        0.784   0.137   0.294   1.000
 15   L_middletemporal             0.627   0.392   0.196   1.000
 16   L_parahippocampal            0.078   0.863   0.235   1.000
 17   L_paracentral                0.235   0.863   0.235   1.000
 18   L_parsopercularis            0.863   0.706   0.549   1.000
 19   L_parsorbitalis              0.078   0.392   0.196   1.000
 20   L_parstriangularis           0.863   0.235   0.078   1.000
 21   L_pericalcarine              0.471   0.392   0.235   1.000
 22   L_postcentral                0.863   0.078   0.078   1.000
 23   L_posteriorcingulate         0.863   0.706   0.863   1.000
 24   L_precentral                 0.235   0.078   0.863   1.000
 25   L_precuneus                  0.627   0.549   0.706   1.000
 26   L_rostralanteriorcingulate   0.314   0.078   0.549   1.000
 27   L_rostralmiddlefrontal       0.294   0.196   0.490   1.000
 28   L_superiorfrontal            0.078   0.863   0.627   1.000
 29   L_superiorparietal           0.078   0.706   0.549   1.000
 30   L_superiortemporal           0.549   0.863   0.863   1.000
 31   L_supramarginal              0.314   0.627   0.078   1.000
 32   L_frontalpole                0.392   0.000   0.392   1.000
 33   L_temporalpole               0.275   0.078   0.667   1.000
 34   L_transversetemporal         0.588   0.588   0.784   1.000
 35   L_insula                     1.000   0.753   0.125   1.000
 36   R_bankssts                   0.098   0.392   0.157   1.000
 37   R_caudalanteriorcingulate    0.490   0.392   0.627   1.000
 38   R_caudalmiddlefrontal        0.392   0.098   0.000   1.000
 39   R_corpuscallosum             0.471   0.275   0.196   1.000
 40   R_cuneus                     0.863   0.078   0.392   1.000
 41   R_entorhinal                 0.863   0.078   0.039   1.000
 42   R_fusiform                   0.706   0.863   0.549   1.000
 43   R_inferiorparietal           0.863   0.235   0.863   1.000
 44   R_inferiortemporal           0.706   0.157   0.471   1.000
 45   R_isthmuscingulate           0.549   0.078   0.549   1.000
 46   R_lateraloccipital           0.078   0.118   0.549   1.000
 47   R_lateralorbitofrontal       0.137   0.294   0.196   1.000
 48   R_lingual                    0.882   0.549   0.549   1.000
 49   R_medialorbitofrontal        0.784   0.137   0.294   1.000
 50   R_middletemporal             0.627   0.392   0.196   1.000
 51   R_parahippocampal            0.078   0.863   0.235   1.000
 52   R_paracentral                0.235   0.863   0.235   1.000
 53   R_parsopercularis            0.863   0.706   0.549   1.000
 54   R_parsorbitalis              0.078   0.392   0.196   1.000
 55   R_parstriangularis           0.863   0.235   0.078   1.000
 56   R_pericalcarine              0.471   0.392   0.235   1.000
 57   R_postcentral                0.863   0.078   0.078   1.000
 58   R_posteriorcingulate         0.863   0.706   0.863   1.000
 59   R_precentral                 0.235   0.078   0.863   1.000
 60   R_precuneus                  0.627   0.549   0.706   1.000
 61   R_rostralanteriorcingulate   0.314   0.078   0.549   1.000
 62   R_rostralmiddlefrontal       0.294   0.196   0.490   1.000
 63   R_superiorfrontal            0.078   0.863   0.627   1.000
 64   R_superiorparietal           0.078   0.706   0.549   1.000
 65   R_superiortemporal           0.549   0.863   0.863   1.000
 66   R_supramarginal              0.314   0.627   0.078   1.000
 67   R_frontalpole                0.392   0.000   0.392   1.000
 68   R_temporalpole               0.275   0.078   0.667   1.000
 69   R_transversetemporal         0.588   0.588   0.784   1.000
 70   R_insula                     1.000   0.753   0.125   1.000
